item_code,item_name,unit,price,price_raw,description,insurance_category,is_valid,source,import_time
w020800011,氯氮平治疗,人次,5.0,5,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w020800012,碳酸锂治疗,人次,5.0,5,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w020800013,快速氟哌啶醇治疗,人次,10.0,10,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w020800015,促大脑代谢治疗,人次,8.0,8,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w020800016,麻醉分析,人次,20.0,20,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w020800033,韦氏筛选法测查,人次,6.0,6,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w020800034,包含过多测查,人次,6.0,6,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w020800036,儿童画人智力测查,人次,4.0,4,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w020800038,幼儿五十智力测查,人次,14.0,14,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w020800039,精神病人社会调查,人次,20.0,20,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w020800040,画钟测查,人次,2.0,2,,无效,否,北京市医疗保障局,2026-03-04 20:03:19
w020800047,"各种量表检查未列项目根据时间长短,问卷难易参照执行",,0.0,,"未列项目根据时间长短,问卷难易参照以上量表项目执行",无效,否,北京市医疗保障局,2026-03-04 20:03:19
w020800049,社会功能康复训练,人次,5.0,5,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w020800051,听觉电知电位,人次,60.0,60,,无效,否,北京市医疗保障局,2026-03-04 20:03:19
w020800054,精神分析治疗     正主任医师,人次,60.0,60,1-2小时，一对一专诊、专室,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0208000056,精神病法医学鉴定重大疑难案例,例,1000.0,1000,主治医师、副教授、教授等五人以上参加,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0208000057,精神病法医学鉴定普通案例鉴定,例,700.0,700,同上,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0208000058,精神病法医学鉴定 缺席鉴定,例,400.0,400,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0208000059,司法麻醉分析,人次,80.0,80,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0208000060,司法韦氏智力测验,人次,60.0,60,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0210000005,高流量药氧吸入,人次,25.0,25,包括氧气费、吸氧管。吸氧面罩另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0211000005,烧伤理发剃头,人次,10.0,10,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0211000006,电动功能练习器,小时,3.0,3,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0211000010,电子气垫床,日,130.0,130,进口机。含住院床位费。多功能治疗床同此收费,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0211000011,烧伤电子秤,人次,10.0,10,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0211000012,烧伤创面定位定压治疗,日,1.0,1,敷料费另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0212000002,肢体静脉检查+瓣膜功能检查,单肢,120.0,120,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0212000003,颈动脉、眶上动脉检查+测量,人次,140.0,140,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0212000004,PPG指、趾动脉检查,单肢,60.0,60,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0212000005,平板下肢运动试验,人次,30.0,30,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0212000007,PVR多普勒检查阴茎背动脉压力平均压图形描记,人次,30.0,30,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0212000008,气压式血液循环驱动(器),单肢,5.0,5,国产,无效,否,北京市医疗保障局,2026-03-04 20:03:19
w0212000009,气压式血液循环驱动(器),单肢,15.0,15,进口,无效,否,北京市医疗保障局,2026-03-04 20:03:19
w0212000010,脉冲血流气压治疗,单肢,2.0,2,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0212000011,激光多普勒血流检查,人次,60.0,60,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0213000008,肺顺应性测定,人次,60.0,60,进口机。国产机减半收费。含气囊安置。气囊另收,无效,否,北京市医疗保障局,2026-03-04 20:03:19
w0213000015,肺内分流测定,人次,60.0,60,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0213000016,生理无效腔,人次,30.0,30,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0213000018,低氧反应功能测定,人次,15.0,15,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0213000020,呼吸功能恢复锻炼器,人次,3.0,3,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0213000021,闭合气量测定（国产）,人次,8.0,8,,无效,否,北京市医疗保障局,2026-03-04 20:03:19
w0214040003,脉冲多普勒,人次,20.0,20,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0214040004,连续波多普勒,人次,20.0,20,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215010002,心电示波,人次,4.0,4,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215010003,经食道心脏调博,人次,25.0,25,导管、电极、心电图检查另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215010004,经食道心脏电生理检查,人次,150.0,150,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215010005,经食道窦房结功能测定,人次,100.0,100,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215010006,经食道程序刺激,人次,100.0,100,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215010015,潘生丁试验,人次,60.0,60,含电极。药费、 心电图另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215010018,心功能容量测定加监测,人次,80.0,80,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215010023,血液动力学测压,第一天,200.0,200,第二天起每天80元,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215010024,立体心电图,人次,30.0,30,电极另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215010027,电脑血液动力学监测,人次,25.0,25,电极另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215010029,无创伤心功能检查,人次,10.0,10,电极另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215010038,心电频谱治疗,人次,8.0,8,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215020003,癔病诱导(H诱发),人次,40.0,40,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215020004,癫痫和癔症鉴别诊断 (MEGIMIDE诱发),人次,50.0,50,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215020005,睡眠诱导,人次,100.0,100,诱导EP,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215020009,脑血流图 ,人次,15.0,15,转颈试验加倍,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215020011,脑电图监测,小时,15.0,15,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215030008,诱发电位彩色地形图,人次,200.0,200,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215030010,肌张力测定,人次,40.0,40,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0215030011,选择性后根切除术中定位,人次,240.0,240,,乙,是,北京市医疗保障局,2026-03-04 20:03:19
